259,William Philpott,Order,-1.8
260,Paul Haley,Daughters of Khaine,-2.2
261,Lukas Madaj,Stormcast Eternals,-2.2
262,Charles Nolan,Blades of Khorne,-2.3
263,Kevin Low,Skaventide,-2.3
264,Arran Folly,Ironjawz,-2.4
265,Alex Ley,Fyreslayers,-2.6
266,Paul di Duca,Clan Skryre,-2.8
267,Matthew Sandiford,Cities of Sigmar,-2.8
268,Jamie McHugh,Stormcast Eternals,-2.8
269,Mathew Crowther,Blades of Khorne,-3.0
270,Sam Sendell,Legion of Blood,-3.0
271,Darren Phipps,Flesh Eater Courts,-3.1
272,Sean McKechnie,Gloomspite Gitz,-3.2
273,Greg Shelton,Ossiarch Bonereapers,-3.3
274,John Harper,Disciples of Tzeentch,-3.4
275,Grant Mudie,Ironjawz,-3.4
276,James Pickup,Maggotkin of Nurgle,-3.4
277,Adam Rawson,Skaven,-3.5
278,Mike Thomas,Gutbusters,-3.5
279,Will Spencer,Ironjawz,-3.6
280,Nick Featherstone,Idoneth Deepkin,-3.6
281,Paul Berridge,Dispossessed,-3.8
282,Andy Wood,Flesh Eater Courts,-3.8
283,Simon Holmes,Flesh Eater Courts,-3.9
284,Joshua Jenkins,Grand Host of Nagash,-4.0
285,Player,UNKNOWN_ARMY,-4.0
286,Neil Samuels,Hosts of Slaanesh,-4.0
287,Declan Waters,Gloomspite Gitz,-4.1
288,Ethan Leach,Idoneth Deepkin,-4.4
289,Jake Powis,Sylvaneth,-4.5
290,Chris Archibald,Idoneth Deepkin,-4.6
291,Stephen Smith,Gloomspite Gitz,-4.6
292,Simon Partridge,Beasts of Chaos,-4.9
293,Luke Whitehead,Flesh Eater Courts,-5.2
294,Dave Carter,Nighthaunt,-5.4
295,Jon Cann,Mawtribes,-5.5
296,Neil Peckett,Stormcast Eternals,-5.9
297,Conor McNama,Disciples of Tzeentch,-5.9
298,James Houston,Skaven,-5.9
299,Adrian Downey,Legion of Grief,-6.0
300,Ben Smith,Stormcast Eternals,-6.3
301,Luke Evans,Legions of Nagash,-6.3
302,Stuart Hodges,Gloomspite Gitz,-6.3
303,Sam Watson,Legions of Nagash,-6.5
304,Adam Martin,Hosts of Slaanesh,-6.6
305,Josh Cann,Maggotkin of Nurgle,-6.9
306,Tim Martin,Blades of Khorne,-7.4
307,Shaun Lang,Legion of Night,-7.5
308,Ben Gomm,Nighthaunt,-7.5
309,Paul Whitehead,Beastclaw Raiders,-7.6
310,Anthony Poole,Sylvaneth,-7.7
311,Angus Brain,Stormcast Eternals,-7.7
312,Wayne Rendell,Ironjawz,-7.7
313,Simon Froley,Daughters of Khaine,-7.9
314,Obaid Bin,Stormcast Eternals,-7.9
315,Dave Busse,Ironjawz,-8.0
316,Martyn Furnival,Hedonites of Slaanesh,-8.0
317,John Dorrian,Blades of Khorne,-8.2
318,Hamid Khabbazan,Free Peoples,-8.2
319,Michael Browning,Flesh Eater Courts,-8.4
320,Jack McQuiggin,Seraphon,-8.4
321,Andrew Hodges,Nighthaunt,-8.5
322,Matt Clarke,Idoneth Deepkin,-8.9
323,Ade Thompson,Beasts of Chaos,-9.1
324,Travis Kelly,Fyreslayers,-9.2
325,Jack Maiden,Gloomspite Gitz,-9.2
326,Miles Hewitt,Skaventide,-9.3
327,Ben Price,Seraphon,-9.4
328,Dominic Hook,Skaventide,-9.5
329,Craig Carlton,Fyreslayers,-9.8
330,Lewis Sloan,Sylvaneth,-9.9
331,John Greene,Sylvaneth,-10.0
332,Ian Ralph,Hedonites of Slaanesh,-10.0
333,Tom Holmes,Gloomspite Gitz,-10.3
334,Gary Pollock,Blades of Khorne,-10.4
335,Luke Power,Sylvaneth,-10.5
336,Mark Mitzman,Gloomspite Gitz,-10.5
337,Will Pollock,Skaven,-10.6
338,William Morris,Gloomspite Gitz,-10.7
339,Matthew Ward,Skaventide,-10.8
340,Duncan Woods,Bonesplitterz,-10.9
341,Keirran Wilson,Flesh Eater Courts,-10.9
342,Matt Willis,Ironjawz,-11.0
343,Daniel Elkington,Slaves to Darkness,-11.2
344,Ross Howard,Gloomspite Gitz,-11.2
345,Stuart Millar,Legion of Sacrement,-11.4
346,Jason Hodgekinson,Ironjawz,-11.5
347,Thomas Blaxall,Gloomspite Gitz,-11.6
348,Pete Bradley,Legion of Sacrement,-11.7
349,Dave Roberts,Flesh Eater Courts,-11.7
350,Scott Smith,Flesh Eater Courts,-11.7
351,Bryn Roberts,Sylvaneth,-11.8
352,Ben Bailey,Daughters of Khaine,-12.4
353,Andy Mackay,Stormcast Eternals,-12.5
354,Alessandro Leto,Stormcast Eternals,-12.7
355,Lee Whitely,Blades of Khorne,-13.0
356,Tom Bridges,Stormcast Eternals,-13.0
357,Nigel Barham,Disciples of Tzeentch,-13.1
358,Alex McGee,Skaven,-13.2
359,Tom Bailey,Blades of Khorne,-13.3
360,Graham Shirley,Gloomspite Gitz,-13.4
361,David Thompson,Sylvaneth,-13.4
362,James Eveleigh,Gloomspite Gitz,-13.5
363,Johnny Armstrong,Skaventide,-13.5
364,Mark Pinnington,UNKNOWN_ARMY,-13.6
365,Stevie Kilmister,Seraphon,-13.7
366,Jamie White,Cities of Sigmar,-13.7
367,Jenny Lyons,Nighthaunt,-13.7
368,Reece West,Stormcast Eternals,-13.7
369,Tom Hewitt,Flesh Eater Courts,-13.9
370,Alex Johnson,Gloomspite Gitz,-14.2
371,Tom Gilboy,Idoneth Deepkin,-14.3
372,Keith Baggott,Wanderers,-14.6
373,Matthew Walker,Hedonites of Slaanesh,-14.6
374,Tim Bland,Disciples of Tzeentch,-14.8
375,Callum Watson,Blades of Khorne,-15.5
376,Evan White,Mawtribes,-15.7
377,Ian Tong,Nighthaunt,-15.8
378,Gabriele Sosso,Legion of Blood,-15.8
379,Ric Ellis,Stormcast Eternals,-15.9
380,Chris Nellis,Daughters of Khaine,-16.1
381,Glen Caldecott,Stormcast Eternals,-16.1
382,Chris Elliot,Skaventide,-16.3
383,Jane Slater,Seraphon,-16.5
384,Matt Dawson,Hosts of Slaanesh,-16.7
385,Jamie Muscroft,Kharadron Overlords,-16.7
386,Lyndon Sinclair,Hosts of Slaanesh,-16.8
387,David Fulbrook,Maggotkin of Nurgle,-17.4
388,Thomas Hamilton,Disciples of Tzeentch,-17.5
389,Stephen Ramage,Nighthaunt,-17.5
390,Dave Knatt,Gloomspite Gitz,-17.5
391,Carl Smith,Gloomspite Gitz,-17.6
392,Jack Carruthers,Slaves to Darkness,-17.7
393,Gareth Parfitt,Gloomspite Gitz,-18.0
394,Tim Pearce,Stormcast Eternals,-18.1
395,Jack Davenport,Stormcast Eternals,-18.1
396,Rob Boyce,Ironjawz,-18.2
397,Matt Robinson,Maggotkin of Nurgle,-18.4
398,Wil Johnson,Blades of Khorne,-18.5
399,Tom Landy,Maggotkin of Nurgle,-18.5
400,Des Brennan,Big Waaagh,-18.6
401,Reuben Beard,Bonesplitterz,-18.7
402,Steve Wren,Idoneth Deepkin,-18.9
403,Erik Bews,Slaves to Darkness,-19.0
404,Barry White,Mawtribes,-19.1
405,Lee Downes,Daughters of Khaine,-19.2
406,Samuel Green,Skaventide,-19.4
407,Grant Fraser,Flesh Eater Courts,-19.5
408,Iain Hunter,Beasts of Chaos,-20.0
409,Steven Lumsdale,Disciples of Tzeentch,-20.1
410,Thomas Lawler,Maggotkin of Nurgle,-20.3
411,Gareth Ravenscroft,Flesh Eater Courts,-21.0
412,Colin Mather,UNKNOWN_ARMY,-21.2
413,Garry Marshall,Maggotkin of Nurgle,-21.3
414,Mike Parker,Stormcast Eternals,-21.3
415,Phil Dodd,Stormcast Eternals,-21.3
416,Kyle Staton,Hedonites of Slaanesh,-21.7
417,Edward Hamon,Disciples of Tzeentch,-21.7
418,Dan Barwick,Fyreslayers,-22.1
419,Christine Coram,Ironjawz,-22.4
420,Graeme Davidson,Nighthaunt,-22.4
421,Phillip Jenkins,Ossiarch Bonereapers,-23.2
422,James Thompson,Sylvaneth,-23.3
423,Matthew Austen,Seraphon,-23.4
