199,Ben Cronin,Flesh Eater Courts,+4.9
200,Mark Storrar,Kharadron Overlords,+4.9
201,Stuart Mann,Gloomspite Gitz,+4.7
202,Matt Harrison,Hedonites of Slaanesh,+4.7
203,Lee Kay,Dispossessed,+4.5
204,Adam Hall,Hedonites of Slaanesh,+4.4
205,Andrew Stephen,Beastclaw Raiders,+4.4
206,Tim Holbrook,Gloomspite Gitz,+4.1
207,Johnathon Pano Kyprianidis,Blades of Khorne,+4.0
208,Paul Marshallsay,Idoneth Deepkin,+4.0
209,Troy Hardy,Hedonites of Slaanesh,+3.8
210,Kane Holloway,Blades of Khorne,+3.8
211,Tim Unwin,Blades of Khorne,+3.7
212,Tom Fildes,Kharadron Overlords,+3.7
213,Joe Jackson,Sylvaneth,+3.6
214,Jonathan Forde,Ironjawz,+3.4
215,Kevin Grimes,Hedonites of Slaanesh,+3.1
216,John Connelly,Skaventide,+2.8
217,Dermot Lacey,Stormcast Eternals,+2.8
218,Kieran Harper,Stormcast Eternals,+2.7
219,Rob Kelly,Flesh Eater Courts,+2.5
220,Aaron Vietch,Stormcast Eternals,+2.5
221,Gabe Huddlestone,Legion of Blood,+2.4
222,Richard Morley,Gloomspite Gitz,+2.1
223,Daniel Arnold,Idoneth Deepkin,+2.0
224,James Field,UNKNOWN_ARMY,+1.9
225,Aaron Walters,Sylvaneth,+1.9
226,Aaron Bailey,Destruction,+1.8
227,Craig Morrow,Skaventide,+1.6
228,Dean Lymath,Stormcast Eternals,+1.1
229,Steve McCormick,Beastclaw Raiders,+1.0
230,Mike Wilding,Hedonites of Slaanesh,+0.9
231,Adam Hazelwood,Nighthaunt,+0.8
232,Craig Chesters,Daughters of Khaine,+0.8
233,David Smyth,Maggotkin of Nurgle,+0.8
234,Finn Melton,Disciples of Tzeentch,+0.6
235,Ben Raven,Blades of Khorne,+0.2
236,Wayne Millaer,Stormcast Eternals,-0.0
237,Aiden Clieve,Maggotkin of Nurgle,-0.1
238,Jack Westaway,Disciples of Tzeentch,-0.2
239,Charles Hollom,Beasts of Chaos,-0.4
240,Paul Coram,Sylvaneth,-0.4
241,Janos Szaniszlo,Ironjawz,-0.5
242,Cain O'Siorain,Kharadron Overlords,-0.7
243,Myles Mulkerrins,Big Waaagh,-0.7
244,Sebastian Del Monte,Gloomspite Gitz,-0.8
245,Chris Carroll,Skaven,-1.0
246,Greg Shelton,Ossiarch Bonereapers,-1.4
247,Chris Mills,Disciples of Tzeentch,-1.4
248,Nicholas Ruesink,Fyreslayers,-1.6
249,James Warth,Stormcast Eternals,-1.6
250,Chris Caves Snr,Daughters of Khaine,-1.6
251,Richard Elsdon,Stormcast Eternals,-1.7
252,Lukas Madaj,Stormcast Eternals,-2.2
253,James Box,Big Waaagh,-2.5
254,Dan Hughes,Gloomspite Gitz,-2.6
255,Forrest Wilhoite,Disciples of Tzeentch,-2.7
256,Alasdair Hutchinson,Gloomspite Gitz,-3.0
257,Danny Cashman,Kharadron Overlords,-3.1
258,Adam Riley,Stormcast Eternals,-3.3
259,Paul Haley,Daughters of Khaine,-3.5
260,Matthew Sandiford,Cities of Sigmar,-3.6
261,Sam Sendell,Legion of Blood,-3.7
262,Kevin Low,Skaventide,-3.9
263,Mathew Crowther,Blades of Khorne,-4.0
264,Alex Ley,Fyreslayers,-4.3
265,Tom Roberts,Blades of Khorne,-4.8
266,John Harper,Disciples of Tzeentch,-4.9
267,Jamie McHugh,Stormcast Eternals,-5.0
268,Arran Folly,Ironjawz,-5.0
269,Charles Nolan,Blades of Khorne,-5.0
270,Darren Phipps,Flesh Eater Courts,-5.4
271,Paul di Duca,Clan Skryre,-5.5
272,Mike Thomas,Gutbusters,-5.5
273,Will Spencer,Ironjawz,-5.6
274,Adam Rawson,Skaven,-5.8
275,Neil Samuels,Hosts of Slaanesh,-5.8
276,Nick Featherstone,Idoneth Deepkin,-6.0
277,Nigel Bartlett,Gutbusters,-6.1
278,Andy Wood,Flesh Eater Courts,-6.1
279,Simon Holmes,Flesh Eater Courts,-6.6
280,James Pickup,Maggotkin of Nurgle,-6.7
281,Sean McKechnie,Gloomspite Gitz,-6.8
282,Joshua Jenkins,Grand Host of Nagash,-7.1
283,Player,UNKNOWN_ARMY,-7.2
